Type,Element,Meaning,Example Word,Example Meaning,Quiz Prompt,Rarity (1-10)
PREFIX,a- / an-,not / without,atypical,not typical,What does 'a-' tell you about the word 'amoral'? How is it different from 'immoral'?,2
PREFIX,ab initio-,from the beginning (Latin),ab initio contract,a contract void from its very inception,How does 'ab initio' differ from a contract that is merely voidable at a later point?,5
PREFIX,ab-,away from / off,abnormal,away from the normal,How does 'ab-' shape the meaning of 'absent'? What is absent literally doing?,3
PREFIX,abio-,non-living / without life,abiogenesis,the origin of life from non-living matter,How does 'abio-' contrast with 'bio-' in 'abiotic' vs. 'biotic'?,8
PREFIX,ad-,toward / to,advance,to move toward the front,How does 'ad-' suggest direction in the word 'adapt'?,2
PREFIX,ambi-,both / around,ambidextrous,able to use both hands equally,"If 'ambi-' means both, what does 'ambivalent' suggest about a person's feelings?",3
PREFIX,amicus-,friend (Latin),amicus curiae,a friend of the court — a non-party who offers information,How does 'amicus' shape the role of an amicus curiae brief in appellate proceedings?,5
PREFIX,ante litem-,before the lawsuit (Latin),ante litem notice,a formal notice given before litigation begins,How does 'ante litem' relate to statutes requiring notice before suing a government body?,8
PREFIX,ante-,before / in front of,antechamber,a room before the main room,How is 'ante-' different from 'anti-'? Use 'antebellum' as a clue.,3
PREFIX,ante-contractual,before the contract,pre-contractual representation,a statement made before contract formation that may give rise to liability,How does a 'pre-contractual' representation differ from a contractual term?,6
PREFIX,anti-,against / opposing,antibacterial,fighting against bacteria,What does the prefix 'anti-' mean? Give an example word.,1
PREFIX,apo-,away from / detached / derived from,apoptosis,programmed cell death — cells detaching from life,How does 'apo-' shape the meaning of 'apostate' (one who stands away from belief)?,6
PREFIX,archaeo-,ancient / primitive / original,archaeopteryx,the earliest known bird (ancient wing),How does 'archaeo-' connect 'archaeology' and 'archaic'?,5
PREFIX,auto-,self / same,autobiography,the story of one's own life,What does 'auto-' reveal about the word 'autopilot'?,1
PREFIX,bene-,good / well,benefactor,one who does good for others,How does 'bene-' connect 'benefit' and 'benevolent'?,2
PREFIX,bi-,two / twice,bilingual,speaking two languages,"If someone is 'bilingual,' what does the prefix 'bi-' tell you?",1
PREFIX,bona fide-,in good faith (Latin),bona fide purchaser,a buyer who acquires property honestly and without notice of defects,How does 'bona fide' protect a purchaser who had no knowledge of a prior claim?,4
PREFIX,brachy-,short,brachycephalic,having an abnormally short or broad head,How does 'brachy-' contrast with 'dolicho-' (long) in anatomical terms?,8
PREFIX,brady-,slow,bradycardia,abnormally slow heart rate,How does 'brady-' contrast with 'tachy-' (fast) in medical vocabulary?,7
PREFIX,caco-,bad / harsh / unpleasant,cacophony,a harsh and discordant mixture of sounds,How does 'caco-' contrast with 'eu-' (good) in 'cacophony' vs. 'euphony'?,7
PREFIX,cata-,down / against / thoroughly,catabolism,the breaking down of molecules for energy,How does 'cata-' contrast with 'ana-' (up/building) in 'catabolism' vs. 'anabolism'?,5
PREFIX,chemo-,chemical,chemosynthesis,producing organic compounds using chemical energy,How does 'chemo-' contrast 'chemosynthesis' with 'photosynthesis'?,4
PREFIX,circum-,around / about,circumnavigate,to travel all the way around,"Using 'circum-' (around), what would 'circumference' literally describe?",3
PREFIX,cis-,on this side of,cisgender,identifying with the gender assigned at birth (on the same side),How does 'cis-' contrast with 'trans-' in both chemistry and gender studies?,5
PREFIX,co-,together / jointly (business),co-branding,the use of two or more brand identities on a single product,How does 'co-branding' differ from a licensing arrangement in marketing?,2
PREFIX,co- / com- / con-,together / with,cooperate,to work together,How does 'com-' shape the meaning of 'combine'? What are the parts combining?,1
PREFIX,contra-,against / opposite,contradict,to say the opposite,"If 'contra-' means against, what does 'contraband' suggest about the goods?",3
PREFIX,contra-,against / contrary to,contra proferentem,interpreting ambiguous contract terms against the drafter,How does 'contra proferentem' discourage parties from drafting intentionally vague clauses?,3
PREFIX,cross-,across / reciprocal (business),cross-collateralization,the use of collateral for one loan to secure another loan,How does 'cross-collateralization' affect the relative positions of different lenders?,3
PREFIX,cryo-,cold / freezing,cryogenics,the science of producing very low temperatures,How does 'cryo-' shape the meaning of 'cryonics' (freezing bodies for future revival)?,5
PREFIX,crypto-,hidden / secret,cryptography,the art of writing in secret codes,"How does 'crypto-' connect 'cryptic,' 'crypt,' and 'cryptozoology'?",4
PREFIX,cyan-,blue / dark blue,cyanosis,a bluish discoloration of skin from lack of oxygen,How does 'cyan-' connect 'cyanide' and 'cyan' in color theory?,5
PREFIX,dactylo-,finger / digit / toe,dactyloscopy,the study of fingerprints for identification,How does 'dactylo-' connect 'pterodactyl' (winged finger) and 'polydactyly'?,8
PREFIX,de facto-,in fact / in practice (Latin),de facto corporation,an entity functioning as a corporation despite lacking full legal formalities,How does 'de facto' differ from 'de jure' (by law) in corporate and governmental contexts?,3
PREFIX,de jure-,by law / by right (Latin),de jure segregation,segregation mandated by law (as opposed to custom),How does 'de jure' contrast with 'de facto' in describing the source of a legal condition?,4
PREFIX,de-,down / away / reverse,deactivate,to reverse activation,How does 'de-' change the meaning of 'code' in 'decode'?,1
PREFIX,de-,reverse / undo (business),demerger,the separation of a business previously combined by merger,Why might a company pursue a 'demerger' to unlock shareholder value?,1
PREFIX,demi-,half / partially,demigod,a being half god and half mortal,"If 'demi-' means half, what would 'demitasse' (a small coffee cup) literally mean?",3
PREFIX,dendro-,tree / branching,dendrochronology,dating events by studying tree rings,How does 'dendro-' shape the meaning of 'dendrite' (a branching nerve extension)?,6
PREFIX,di-,two / double,dioxide,a compound with two oxygen atoms,What does 'di-' tell you about the word 'dilemma' (two assumptions)?,2
PREFIX,dia-,through / across / between,diagonal,a line going across a shape,How does 'dia-' (through/across) shape the meaning of 'diameter'?,3
PREFIX,dis-,not / opposite of,disorganized,not organized,What does 'dis-' do to the meaning of a base word? Use 'dishonest' as a clue.,1
PREFIX,dolicho-,long,dolichocephalic,having an elongated skull,How does 'dolicho-' contrast with 'brachy-' (short) in medical anthropology?,9
PREFIX,dys-,bad / difficult / abnormal,dyslexia,difficulty with reading,How does 'dys-' change the meaning of 'function' in 'dysfunction'?,3
